epoch,average_local_error,class_aware_continuity,class_aware_trustworthiness,continuity,distance_consistency,false_neighbors,jaccard,missing_neighbors,mrre_data,mrre_proj,neighborhood_hit,normalized_stress,pearson_correlation,procrustes,scale_normalized_stress,shepard_goodness,true_neighbors,trustworthiness,projection,dataset,k,metric
1,0.197,0.949,0.941,0.943,0.655,0.951,0.028,0.951,0.116,0.052,0.649,0.837,0.654,0.999,0.149,0.598,0.049,0.885,umap,har,7,jaccard
100,0.1,0.976,0.974,0.972,0.708,0.903,0.057,0.903,0.056,0.025,0.733,0.836,0.726,0.997,0.112,0.729,0.097,0.944,umap,har,7,jaccard
200,0.097,0.978,0.981,0.974,0.694,0.887,0.068,0.887,0.046,0.024,0.776,0.835,0.758,0.996,0.097,0.768,0.113,0.954,umap,har,7,jaccard
300,0.096,0.978,0.986,0.974,0.705,0.869,0.079,0.869,0.039,0.024,0.811,0.827,0.751,0.996,0.098,0.761,0.131,0.961,umap,har,7,jaccard
400,0.09,0.979,0.989,0.974,0.7,0.848,0.092,0.848,0.034,0.023,0.836,0.825,0.75,0.995,0.097,0.76,0.152,0.966,umap,har,7,jaccard
500,0.086,0.978,0.991,0.974,0.691,0.833,0.102,0.833,0.03,0.024,0.846,0.822,0.752,0.995,0.095,0.763,0.167,0.97,umap,har,7,jaccard
600,0.083,0.979,0.992,0.974,0.699,0.818,0.113,0.818,0.028,0.024,0.855,0.821,0.744,0.994,0.095,0.755,0.182,0.972,umap,har,7,jaccard
700,0.081,0.979,0.993,0.974,0.696,0.794,0.13,0.794,0.024,0.024,0.863,0.821,0.745,0.994,0.094,0.757,0.206,0.976,umap,har,7,jaccard
800,0.081,0.978,0.993,0.974,0.694,0.792,0.132,0.792,0.023,0.024,0.858,0.819,0.75,0.994,0.092,0.762,0.208,0.977,umap,har,7,jaccard
900,0.078,0.979,0.994,0.974,0.697,0.773,0.145,0.773,0.02,0.024,0.864,0.82,0.753,0.994,0.09,0.766,0.227,0.979,umap,har,7,jaccard
1000,0.078,0.978,0.994,0.974,0.698,0.76,0.154,0.76,0.019,0.024,0.865,0.819,0.751,0.994,0.091,0.764,0.24,0.981,umap,har,7,jaccard
-1,0.159,0.991,0.994,0.988,0.696,0.686,0.209,0.686,0.021,0.01,0.895,0.832,0.597,0.999,0.161,0.535,0.314,0.978,umap,har,7,jaccard
1,0.032,0.916,0.907,0.885,0.806,0.848,0.099,0.848,0.293,0.083,0.74,0.693,0.601,0.994,0.198,0.619,0.152,0.685,mds,spambase,51,jaccard
100,0.104,0.715,0.813,0.619,0.505,0.904,0.069,0.904,0.349,0.303,0.608,1.0,-0.182,0.9,0.894,-0.361,0.096,0.613,mds,spambase,51,jaccard
200,0.103,0.712,0.813,0.615,0.498,0.905,0.069,0.905,0.349,0.307,0.608,1.0,-0.179,0.901,0.903,-0.366,0.095,0.613,mds,spambase,51,jaccard
300,0.103,0.71,0.814,0.611,0.493,0.905,0.069,0.905,0.351,0.311,0.609,1.0,-0.177,0.902,0.909,-0.369,0.095,0.613,mds,spambase,51,jaccard
400,0.102,0.708,0.815,0.609,0.492,0.905,0.069,0.905,0.35,0.314,0.61,1.0,-0.175,0.899,0.914,-0.372,0.095,0.613,mds,spambase,51,jaccard
500,0.101,0.706,0.816,0.607,0.493,0.905,0.069,0.905,0.349,0.316,0.611,1.0,-0.174,0.895,0.918,-0.374,0.095,0.614,mds,spambase,51,jaccard
600,0.101,0.705,0.816,0.605,0.49,0.905,0.069,0.905,0.349,0.318,0.612,1.0,-0.172,0.909,0.921,-0.375,0.095,0.613,mds,spambase,51,jaccard
700,0.101,0.704,0.815,0.603,0.487,0.906,0.069,0.906,0.35,0.32,0.611,1.0,-0.171,0.901,0.924,-0.377,0.094,0.613,mds,spambase,51,jaccard
800,0.1,0.703,0.815,0.602,0.486,0.906,0.069,0.906,0.35,0.322,0.611,1.0,-0.169,0.906,0.927,-0.378,0.094,0.612,mds,spambase,51,jaccard
900,0.1,0.702,0.815,0.601,0.484,0.906,0.068,0.906,0.351,0.323,0.611,1.0,-0.168,0.912,0.929,-0.378,0.094,0.612,mds,spambase,51,jaccard
1000,0.1,0.701,0.815,0.6,0.483,0.906,0.068,0.906,0.35,0.325,0.612,1.0,-0.167,0.9,0.931,-0.379,0.094,0.612,mds,spambase,51,jaccard
-1,0.025,0.884,0.901,0.852,0.782,0.824,0.116,0.824,0.285,0.146,0.722,0.573,0.9,0.998,0.069,0.879,0.176,0.705,mds,spambase,51,jaccard
1,0.146,0.96,0.884,0.941,0.686,0.798,0.121,0.798,0.167,0.049,0.63,0.858,0.606,0.99,0.129,0.578,0.202,0.837,tsne,usps,51,jaccard
100,0.233,0.96,0.957,0.933,0.705,0.728,0.163,0.728,0.078,0.054,0.759,0.979,0.572,0.958,0.436,0.59,0.272,0.92,tsne,usps,51,jaccard
200,0.26,0.959,0.969,0.932,0.693,0.68,0.197,0.68,0.055,0.054,0.774,0.982,0.524,0.957,0.465,0.564,0.32,0.941,tsne,usps,51,jaccard
300,0.264,0.958,0.972,0.929,0.679,0.665,0.208,0.665,0.05,0.056,0.776,0.985,0.527,0.956,0.454,0.557,0.335,0.945,tsne,usps,51,jaccard
400,0.28,0.956,0.972,0.927,0.68,0.654,0.217,0.654,0.046,0.058,0.773,0.986,0.49,0.956,0.496,0.558,0.346,0.948,tsne,usps,51,jaccard
500,0.285,0.955,0.973,0.926,0.693,0.649,0.222,0.649,0.045,0.059,0.773,0.986,0.443,0.955,0.56,0.563,0.351,0.949,tsne,usps,51,jaccard
600,0.286,0.953,0.974,0.924,0.694,0.642,0.228,0.642,0.043,0.061,0.777,0.986,0.428,0.955,0.58,0.562,0.358,0.95,tsne,usps,51,jaccard
