method,average_local_error,class_aware_continuity,class_aware_trustworthiness,continuity,distance_consistency,false_neighbors,jaccard,missing_neighbors,mrre_data,mrre_proj,neighborhood_hit,normalized_stress,pearson_correlation,procrustes,scale_normalized_stress,shepard_goodness,true_neighbors,trustworthiness,projection,dataset,k,metric
rescaled,0.078,0.978,0.994,0.974,0.698,0.76,0.154,0.76,0.019,0.024,0.865,0.819,0.751,0.994,0.091,0.764,0.24,0.981,umap,har,7,jaccard
magnetic,0.065,0.972,0.979,0.967,0.69,0.91,0.052,0.91,0.051,0.031,0.763,0.834,0.745,0.993,0.092,0.757,0.09,0.949,umap,har,7,jaccard
magnetic_on_rescale,0.065,0.972,0.979,0.967,0.69,0.91,0.052,0.91,0.051,0.031,0.764,0.834,0.745,0.993,0.092,0.757,0.09,0.949,umap,har,7,jaccard
delaunay,0.14,0.973,0.987,0.967,0.659,0.81,0.117,0.81,0.029,0.03,0.837,0.808,0.682,0.989,0.101,0.696,0.19,0.97,umap,har,7,jaccard
projnn,0.128,0.975,0.988,0.97,0.668,0.789,0.132,0.789,0.026,0.028,0.846,0.812,0.683,0.99,0.101,0.695,0.211,0.972,umap,har,7,jaccard
truenn,0.081,0.985,0.978,0.983,0.694,0.858,0.087,0.858,0.054,0.017,0.792,0.836,0.771,0.998,0.083,0.783,0.142,0.946,umap,har,7,jaccard
rescaled,0.1,0.701,0.817,0.599,0.483,0.906,0.069,0.906,0.349,0.325,0.613,1.025,-0.167,0.903,0.931,-0.38,0.094,0.614,mds,spambase,51,jaccard
magnetic,0.085,0.669,0.779,0.57,0.506,0.958,0.024,0.958,0.439,0.397,0.561,0.517,-0.185,0.984,0.47,-0.164,0.042,0.547,mds,spambase,51,jaccard
magnetic_on_rescale,0.091,0.693,0.773,0.599,0.486,0.933,0.047,0.933,0.422,0.352,0.554,0.927,-0.154,0.954,0.891,-0.172,0.067,0.566,mds,spambase,51,jaccard
delaunay,0.092,0.649,0.759,0.546,0.487,0.963,0.022,0.963,0.472,0.425,0.547,0.93,-0.16,1.379,0.892,-0.215,0.037,0.53,mds,spambase,51,jaccard
projnn,0.081,0.74,0.78,0.665,0.629,0.944,0.037,0.944,0.443,0.301,0.578,0.518,-0.074,2.764,0.512,-0.029,0.056,0.558,mds,spambase,51,jaccard
truenn,0.071,0.787,0.8,0.719,0.646,0.936,0.039,0.936,0.426,0.209,0.61,0.597,-0.081,7.331,0.581,-0.044,0.064,0.574,mds,spambase,51,jaccard
rescaled,0.282,0.939,0.943,0.903,0.548,0.693,0.194,0.693,0.056,0.078,0.699,0.973,0.291,0.958,0.582,0.455,0.307,0.917,tsne,usps,51,jaccard
magnetic,0.275,0.673,0.65,0.611,0.229,0.964,0.02,0.964,0.379,0.383,0.232,0.96,0.215,0.99,0.356,0.226,0.036,0.621,tsne,usps,51,jaccard
magnetic_on_rescale,0.282,0.819,0.712,0.771,0.378,0.936,0.036,0.936,0.32,0.216,0.314,0.972,0.262,0.982,0.516,0.381,0.064,0.681,tsne,usps,51,jaccard
delaunay,0.265,0.897,0.812,0.861,0.532,0.901,0.055,0.901,0.238,0.128,0.479,0.952,0.335,0.989,0.308,0.374,0.099,0.763,tsne,usps,51,jaccard
projnn,0.155,0.948,0.95,0.921,0.642,0.729,0.163,0.729,0.063,0.065,0.713,0.882,0.474,0.979,0.147,0.44,0.271,0.919,tsne,usps,51,jaccard
truenn,0.174,0.969,0.904,0.948,0.711,0.784,0.127,0.784,0.147,0.039,0.697,0.894,0.475,0.987,0.151,0.446,0.216,0.853,tsne,usps,51,jaccard
